mult Jacobi 100 800 6 22428.54 5.692407977 0.948734663
mult Jacobi 100 800 7 19121.78 6.676805193 0.953829313
mult Jacobi 100 800 8 16613.8 7.684719932 0.960589991
mult Jacobi 100 800 9 15777.28 8.092167978 0.899129775
mult Jacobi 100 800 10 13658.58 9.34741386 0.934741386
single GSB 10 1000 1 20773.65 1 1
single GSB 10 1000 2 729398.4 0.028480526 0.014240263
single GSB 10 1000 3 507242 0.040954121 0.013651374
single GSB 10 1000 4 368516.6 0.056371002 0.014092751
single GSB 10 1000 5 313130.25 0.066341882 0.013268376
single GSB 10 1000 6 566569 0.036665702 0.00611095
single GSB 10 1000 7 229413 0.09055132 0.012935903


single GSB 10 1000 10 458215.25 0.045336007 0.004533601
single GSB 10 200 1 782.9223333 1 1
single GSB 10 200 2 29993.34 0.026103206 0.013051603
single GSB 10 200 3 108589.66 0.007209916 0.002403305
single GSB 10 200 4 112980.26 0.006929727 0.001732432
single GSB 10 200 5 125045.78 0.006261086 0.001252217
single GSB 10 200 6 216009.2 0.003624486 0.000604081
single GSB 10 200 7 217207.42 0.003604492 0.000514927
single GSB 10 200 8 95091.68 0.008233342 0.001029168
single GSB 10 200 9 117065.08 0.006687924 0.000743103
single GSB 10 200 10 135250.34 0.00578869 0.000578869
single GSB 10 400 1 3184.624 1 1
single GSB 10 400 2 116690.2 0.027291272 0.013645636
single GSB 10 400 3 82698.16 0.038509007 0.012836336
single GSB 10 400 4 139426.54 0.022840874 0.005710218
single GSB 10 400 5 384871.775 0.008274506 0.001654901
single GSB 10 400 6 581481.25 0.005476744 0.000912791
single GSB 10 400 7 860453.6 0.003701099 0.000528728
single GSB 10 400 8 594902.4 0.005353187 0.000669148
single GSB 10 400 9 279055.94 0.011412135 0.001268015
single GSB 10 400 10 359743.82 0.008852477 0.000885248
single GSB 10 600 1 7151.33 1 1
single GSB 10 600 2 338833 0.021105766 0.010552883
single GSB 10 600 3 178887.6 0.039976667 0.013325556
single GSB 10 600 4 267739.6 0.02671002 0.006677505
single GSB 10 600 5 291130.5 0.024564001 0.0049128
single GSB 10 600 6 913634.25 0.007827344 0.001304557
single GSB 10 600 7 1000772 0.007145813 0.00102083
single GSB 10 600 8 1013301 0.007057459 0.000882182
single GSB 10 600 9 277956.25 0.025728258 0.002858695
single GSB 10 600 10 163179 0.043825063 0.004382506
single GSB 10 800 1 12841.8 1 1
single GSB 10 800 2 512450.8 0.025059576 0.012529788
single GSB 10 800 3 413678 0.031042985 0.010347662
single GSB 10 800 4 361471.6 0.035526442 0.008881611
single GSB 10 800 5 973279.25 0.013194363 0.002638873
single GSB 10 800 6 885621.5 0.014500325 0.002416721
single GSB 10 800 7 1126010 0.011404694 0.001629242
single GSB 10 800 8 121347 0.105827091 0.013228386
single GSB 10 800 9 717934 0.01788716 0.001987462
single GSB 10 800 10 243023.75 0.052841749 0.005284175
single Jacobi 10 1000 1 20022.775 1 1
single Jacobi 10 1000 2 612106 0.032711287 0.016355643
single Jacobi 10 1000 3 548506.8 0.036504151 0.01216805
single Jacobi 10 1000 4 563381.8 0.03554033 0.008885082
single Jacobi 10 1000 5 657969.75 0.030431148 0.00608623
single Jacobi 10 1000 6 1105310 0.018115076 0.003019179


single Jacobi 10 1000 9 916286 0.021852102 0.002428011
single Jacobi 10 1000 10 426027.3333 0.046998804 0.00469988
single Jacobi 10 200 1 808.8913333 1 1
single Jacobi 10 200 2 29754.88 0.027185165 0.013592583
single Jacobi 10 200 3 19447.28 0.04159406 0.013864687
single Jacobi 10 200 4 88962.16 0.009092533 0.002273133
single Jacobi 10 200 5 44339.9 0.018242967 0.003648593
single Jacobi 10 200 6 215056.2 0.003761302 0.000626884
single Jacobi 10 200 7 175547.58 0.004607818 0.00065826
single Jacobi 10 200 8 161176.94 0.005018654 0.000627332
single Jacobi 10 200 9 165130.98 0.004898483 0.000544276
single Jacobi 10 200 10 135462.36 0.005971336 0.000597134
single Jacobi 10 400 1 3217.8125 1 1
single Jacobi 10 400 2 112425.9 0.02862163 0.014310815
single Jacobi 10 400 3 233965 0.013753393 0.004584464
single Jacobi 10 400 4 220608.4 0.014586083 0.003646521
single Jacobi 10 400 5 364255.72 0.008833938 0.001766788
single Jacobi 10 400 6 512112.5 0.006283409 0.001047235
single Jacobi 10 400 7 772748.72 0.004164112 0.000594873
single Jacobi 10 400 8 444709.2 0.007235768 0.000904471
single Jacobi 10 400 9 277928.54 0.011577841 0.001286427
single Jacobi 10 400 10 363794.22 0.008845145 0.000884514
single Jacobi 10 600 1 7216.18 1 1
single Jacobi 10 600 2 246724.4 0.029247938 0.014623969
single Jacobi 10 600 3 279001.2 0.025864333 0.008621444
single Jacobi 10 600 4 249023.4 0.028977919 0.00724448
single Jacobi 10 600 5 489868.25 0.014730859 0.002946172
single Jacobi 10 600 6 910263 0.007927577 0.001321263
single Jacobi 10 600 7 871954.275 0.00827587 0.001182267
single Jacobi 10 600 8 831440.5 0.00867913 0.001084891
single Jacobi 10 600 9 264494.3333 0.027282929 0.003031437
single Jacobi 10 600 10 97606.8 0.07393112 0.007393112
single Jacobi 10 800 1 13111.8 1 1
single Jacobi 10 800 2 502215 0.026107942 0.013053971
single Jacobi 10 800 3 396725.6 0.033050048 0.011016683
single Jacobi 10 800 4 464261.4 0.028242279 0.00706057
single Jacobi 10 800 5 932079 0.014067263 0.002813453
single Jacobi 10 800 6 1090072.5 0.012028374 0.002004729
single Jacobi 10 800 7 798574.6667 0.016419003 0.002345572

single Jacobi 10 800 9 612090 0.02142136 0.002380151
single Jacobi 10 800 10 289007.3333 0.045368399 0.00453684
